NOC,Medal,Count
AUS,Bronze,1
AUS,Silver,2
BEL,Bronze,14
BEL,Gold,16
BEL,Silver,12
BRA,Bronze,1
BRA,Gold,1
BRA,Silver,1
CAN,Bronze,3
CAN,Gold,3
CAN,Silver,3
DEN,Bronze,1
DEN,Gold,3
DEN,Silver,9
ESP,Silver,2
EST,Gold,1
EST,Silver,2
FIN,Bronze,9
FIN,Gold,15
FIN,Silver,10
FRA,Bronze,13
FRA,Gold,9
FRA,Silver,20
GBR,Bronze,13
GBR,Gold,14
GBR,Silver,16
GRE,Silver,1
ITA,Bronze,5
ITA,Gold,14
ITA,Silver,6
JPN,Silver,2
LUX,Silver,1
NED,Bronze,5
NED,Gold,4
NED,Silver,2
NOR,Bronze,9
NOR,Gold,10
NOR,Silver,10
NZL,Bronze,1
RSA,Bronze,3
RSA,Gold,3
RSA,Silver,4
SUI,Bronze,7
SUI,Gold,2
SUI,Silver,2
SWE,Bronze,25
SWE,Gold,19
SWE,Silver,20
TCH,Bronze,2
USA,Bronze,27
USA,Gold,41
USA,Silver,27
