Unnamed: 0,NOC,continent
41,FIN,Europe
126,NOR,Europe
147,IRI,Asia
335,EGY,Africa
531,PAK,Asia
697,MON,Europe
713,URU,America
731,SWE,Europe
1114,TUR,Asia
1128,ITA,Europe
1150,CHI,America
1303,DEN,Europe
1320,MEX,America
1375,FRA,Europe
1391,POL,Europe
1553,ESP,Europe
1571,BEL,Europe
1615,GBR,Europe
1794,PHI,Asia
1893,SUI,Europe
1992,AFG,Asia
2115,AUS,Oceania
2133,CUB,America
2179,ARG,America
2368,IRL,Europe
2383,IND,Asia
2410,USA,America
2485,IRQ,Asia
2583,PER,America
2597,COL,America
4463,BRA,America
5520,YUG,None
6038,AUT,Europe
6370,KOR,Asia
7242,HUN,Europe
7277,NED,Europe
7625,LUX,Europe
8867,GRE,Europe
9435,ISL,Europe
9813,RSA,Africa
10379,CAN,America
13221,TCH,None
14270,PUR,America
14522,BER,America
14969,POR,Europe
17074,LIB,Asia
17277,JAM,America
31152,LIE,Europe
36311,NZL,Oceania
38405,CHN,Asia
38919,GUY,America
51833,SRI,Asia
81618,TTO,America
105244,MLT,Europe
130419,PAN,America
136765,VEN,America
153068,MYA,Asia
219013,SYR,Asia
247372,SGP,Asia
