Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1952,Finland,Helsinki,Soviet Union,URS,22,30,19
1952,Finland,Helsinki,Italy,ITA,8,9,4
1952,Finland,Helsinki,United States,USA,40,19,17
1952,Finland,Helsinki,Hungary,HUN,16,10,16
1952,Finland,Helsinki,France,FRA,6,6,6
1952,Finland,Helsinki,Czechoslovakia,TCH,7,3,3
1952,Finland,Helsinki,Sweden,SWE,12,13,10
1952,Finland,Helsinki,Argentina,ARG,1,2,2
1952,Finland,Helsinki,Poland,POL,1,2,1
1952,Finland,Helsinki,Japan,JPN,1,6,2
1952,Finland,Helsinki,Great Britain,GBR,1,2,8
1952,Finland,Helsinki,Canada,CAN,1,2,0
1952,Finland,Helsinki,Brazil,BRA,1,0,2
1952,Finland,Helsinki,New Zealand,NZL,1,0,2
1952,Finland,Helsinki,Yugoslavia,YUG,1,2,0
1952,Finland,Helsinki,Romania,ROU,1,1,2
1952,Finland,Helsinki,Norway,NOR,3,2,0
1952,Finland,Helsinki,Switzerland,SUI,2,6,6
1952,Finland,Helsinki,Finland,FIN,6,3,13
1952,Finland,Helsinki,Australia,AUS,6,2,3
1952,Finland,Helsinki,South Africa,RSA,2,4,4
1952,Finland,Helsinki,Denmark,DEN,2,1,3
1952,Finland,Helsinki,Turkey,TUR,2,0,1
1952,Finland,Helsinki,Jamaica,JAM,2,3,0
1952,Finland,Helsinki,Belgium,BEL,2,2,0
1952,Finland,Helsinki,South Korea,KOR,0,0,2
1952,Finland,Helsinki,Trinidad and Tobago,TRI,0,0,2
1952,Finland,Helsinki,Mexico,MEX,0,1,0
1952,Finland,Helsinki,Spain,ESP,0,1,0
1952,Finland,Helsinki,Uruguay,URU,0,0,2
1952,Finland,Helsinki,Portugal,POR,0,0,1
1952,Finland,Helsinki,Venezuela,VEN,0,0,1
1952,Finland,Helsinki,Bulgaria,BUL,0,0,1
1952,Finland,Helsinki,Egypt,EGY,0,0,1
1952,Finland,Helsinki,Germany,GER,0,7,17
1952,Finland,Helsinki,Netherlands,NED,0,5,0
1952,Finland,Helsinki,India,IND,1,0,1
1952,Finland,Helsinki,Luxembourg,LUX,1,0,0
1952,Finland,Helsinki,Iran,IRI,0,3,4
1952,Finland,Helsinki,Lebanon,LIB,0,1,1
1952,Finland,Helsinki,Ireland,IRL,0,1,0
1952,Finland,Helsinki,Chile,CHI,0,2,0
1952,Finland,Helsinki,Austria,AUT,0,1,1
