Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1980,Moscow,Aquatics,Diving,"AMBARTSUMYAN, David",URS,Men,10M Platform,Bronze
1980,Moscow,Aquatics,Diving,"HOFFMANN, Falk",GDR,Men,10M Platform,Gold
1980,Moscow,Aquatics,Diving,"ALEINIK, Vladimir",URS,Men,10M Platform,Silver
1980,Moscow,Aquatics,Diving,"TSOTADZE, Liana",URS,Women,10M Platform,Bronze
1980,Moscow,Aquatics,Diving,"JÄSCHKE, Martina",GDR,Women,10M Platform,Gold
1980,Moscow,Aquatics,Diving,"EMIRZIAN, Servard",URS,Women,10M Platform,Silver
1980,Moscow,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3M Springboard,Bronze
1980,Moscow,Aquatics,Diving,"PORTNOV, Aleksandr",URS,Men,3M Springboard,Gold
1980,Moscow,Aquatics,Diving,"GIRON, Carlos",MEX,Men,3M Springboard,Silver
1980,Moscow,Aquatics,Diving,"GUTHKE, Karin",GDR,Women,3M Springboard,Bronze
1980,Moscow,Aquatics,Diving,"KALININA, Irina",URS,Women,3M Springboard,Gold
1980,Moscow,Aquatics,Diving,"PROEBER, Martina",GDR,Women,3M Springboard,Silver
1980,Moscow,Aquatics,Swimming,"DOLGOV, Vladimir",URS,Men,100M Backstroke,Bronze
1980,Moscow,Aquatics,Swimming,"BARON, Bengt",SWE,Men,100M Backstroke,Gold
1980,Moscow,Aquatics,Swimming,"KUZNETSOV, Viktor",URS,Men,100M Backstroke,Silver
1980,Moscow,Aquatics,Swimming,"RIEDEL, Petra",GDR,Women,100M Backstroke,Bronze
1980,Moscow,Aquatics,Swimming,"REINISCH, Rica",GDR,Women,100M Backstroke,Gold
1980,Moscow,Aquatics,Swimming,"KLEBER, Ina",GDR,Women,100M Backstroke,Silver
1980,Moscow,Aquatics,Swimming,"EVANS, Peter",AUS,Men,100M Breaststroke,Bronze
1980,Moscow,Aquatics,Swimming,"GOODHEW, Dunkan",GBR,Men,100M Breaststroke,Gold
1980,Moscow,Aquatics,Swimming,"MISKAROV, Arsen",URS,Men,100M Breaststroke,Silver
1980,Moscow,Aquatics,Swimming,"NIELSSON, Susanne Schultz",DEN,Women,100M Breaststroke,Bronze
1980,Moscow,Aquatics,Swimming,"GEWENIGER, Ute",GDR,Women,100M Breaststroke,Gold
1980,Moscow,Aquatics,Swimming,"VASILKOVA, Elvira",URS,Women,100M Breaststroke,Silver
1980,Moscow,Aquatics,Swimming,"LOPEZ-ZUBERO PURCELL, David",ESP,Men,100M Butterfly,Bronze
1980,Moscow,Aquatics,Swimming,"ARVIDSSON, Pär",SWE,Men,100M Butterfly,Gold
1980,Moscow,Aquatics,Swimming,"PYTTEL, Roger",GDR,Men,100M Butterfly,Silver
1980,Moscow,Aquatics,Swimming,"KNACKE, Christiane",GDR,Women,100M Butterfly,Bronze
1980,Moscow,Aquatics,Swimming,"METSCHUCK, Caren",GDR,Women,100M Butterfly,Gold
