Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1996,United States,Atlanta,United States,USA,44,32,25
1996,United States,Atlanta,Russia,RUS,26,21,16
1996,United States,Atlanta,Germany,GER,20,18,27
1996,United States,Atlanta,China,CHN,16,22,12
1996,United States,Atlanta,France,FRA,15,7,15
1996,United States,Atlanta,Italy,ITA,13,10,12
1996,United States,Atlanta,Cuba,CUB,9,8,8
1996,United States,Atlanta,Ukraine,UKR,9,2,12
1996,United States,Atlanta,Australia,AUS,9,9,23
1996,United States,Atlanta,South Korea,KOR,7,15,5
